epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,776.947,1.28132,0.65888,1.04534,0.75305,0.82418,0.76055,0.42721,1.57576,0.901,1.0883,0.000478762,0.000478762,0.000478762
74,787.384,1.24892,0.64352,1.02828,0.89134,0.56794,0.75033,0.44006,1.63228,1.01154,1.10857,0.000462259,0.000462259,0.000462259
75,797.9,1.21302,0.63666,1.02786,0.74972,0.83516,0.7745,0.39326,1.70681,0.88117,1.11941,0.000445756,0.000445756,0.000445756
76,808.659,1.21202,0.61736,1.01836,0.62448,0.92308,0.69553,0.32364,1.7421,0.89833,1.12142,0.000429253,0.000429253,0.000429253
77,819.178,1.24281,0.6242,1.02973,0.71087,0.87442,0.84869,0.47539,1.65657,0.87148,1.10537,0.000412749,0.000412749,0.000412749
78,829.746,1.19687,0.60496,1.01473,0.74888,0.83516,0.85238,0.49657,1.61923,0.89814,1.08244,0.000396246,0.000396246,0.000396246
79,840.395,1.18619,0.60267,1.01209,0.76873,0.85081,0.78108,0.46774,1.55143,0.83424,1.0745,0.000379743,0.000379743,0.000379743
80,851.261,1.18165,0.60125,1.011,0.7487,0.80925,0.77248,0.45999,1.56028,0.84276,1.09209,0.000363239,0.000363239,0.000363239
81,861.772,1.18461,0.59057,1.01076,0.75513,0.82478,0.76469,0.43435,1.64668,0.92052,1.10917,0.000346736,0.000346736,0.000346736
82,872.3,1.16963,0.58847,1.0047,0.72148,0.91037,0.77253,0.37043,1.74873,0.87956,1.13014,0.000330233,0.000330233,0.000330233
83,882.98,1.19074,0.59101,1.01756,0.73696,0.92857,0.77566,0.43163,1.69473,0.86104,1.10606,0.000313729,0.000313729,0.000313729
84,893.465,1.18171,0.59158,1.0077,0.75498,0.81476,0.76773,0.43887,1.57686,0.85437,1.082,0.000297226,0.000297226,0.000297226
85,903.968,1.14936,0.57165,0.99409,0.73055,0.8755,0.74686,0.40304,1.60552,0.85562,1.1089,0.000280723,0.000280723,0.000280723
86,914.506,1.17502,0.57953,1.01094,0.71194,0.90088,0.77211,0.42894,1.72573,0.88162,1.12924,0.00026422,0.00026422,0.00026422
87,925.134,1.16427,0.58386,1.00564,0.72881,0.89011,0.76832,0.37694,1.74687,0.88801,1.13196,0.000247716,0.000247716,0.000247716
88,935.683,1.17782,0.57709,1.00292,0.6953,0.92308,0.7644,0.44557,1.60467,0.84914,1.09569,0.000231213,0.000231213,0.000231213
89,946.36,1.12558,0.5648,0.99158,0.75813,0.84615,0.76093,0.4282,1.58813,0.86084,1.10101,0.00021471,0.00021471,0.00021471
90,956.852,1.1082,0.56111,0.98577,0.7682,0.85851,0.7695,0.44163,1.63557,0.85262,1.09278,0.000198206,0.000198206,0.000198206
91,969.23,1.09147,0.55064,0.98087,0.75046,0.88462,0.76973,0.41476,1.65988,0.84065,1.09939,0.000181703,0.000181703,0.000181703
92,980.008,1.09281,0.5456,0.97374,0.7894,0.8498,0.76811,0.4834,1.59382,0.8296,1.08575,0.0001652,0.0001652,0.0001652
93,990.908,1.07758,0.54367,0.97631,0.74825,0.85714,0.7753,0.47657,1.58374,0.82029,1.0851,0.000148696,0.000148696,0.000148696
94,1001.43,1.08175,0.54076,0.97302,0.73392,0.86264,0.76913,0.43432,1.7011,0.84917,1.12101,0.000132193,0.000132193,0.000132193
95,1011.92,1.05769,0.53588,0.96928,0.77325,0.86813,0.77536,0.43972,1.64588,0.85247,1.10585,0.00011569,0.00011569,0.00011569
96,1022.46,1.0573,0.53314,0.96803,0.77586,0.86264,0.77159,0.44677,1.61434,0.82014,1.09254,9.91865e-05,9.91865e-05,9.91865e-05
97,1032.89,1.04037,0.52773,0.96541,0.77098,0.86156,0.77116,0.44444,1.63713,0.83841,1.0953,8.26832e-05,8.26832e-05,8.26832e-05
98,1043.3,1.042,0.52611,0.96056,0.75251,0.86813,0.77442,0.42088,1.64932,0.8442,1.10565,6.61799e-05,6.61799e-05,6.61799e-05
99,1053.71,1.03497,0.52719,0.95779,0.74966,0.85165,0.77178,0.44292,1.64729,0.83732,1.10341,4.96766e-05,4.96766e-05,4.96766e-05
100,1064.17,1.03558,0.52716,0.9607,0.75483,0.85165,0.77061,0.44235,1.63238,0.833,1.0974,3.31733e-05,3.31733e-05,3.31733e-05
