                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.3796,                 0.7175,                0.98449,                0.64852,                  0.834,                0.80097,                0.49748,                 1.7416,                0.94941,                 1.0137,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.3425,                0.70288,                0.97816,                0.76868,                0.52473,                0.74809,                0.48264,                 1.7378,                0.88456,                 1.0261,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.3465,                0.68579,                 0.9731,                0.63376,                0.55496,                0.67245,                0.37609,                 1.7433,                0.98126,                 1.0161,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.3327,                 0.6854,                0.96881,                0.63694,                0.56319,                0.75603,                0.47053,                 1.7614,                0.97537,                 1.0178,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.3267,                0.68552,                0.97119,                0.63267,                0.85967,                0.79808,                0.46807,                 1.7396,                0.91027,                  1.021,             0.00031373,             0.00031373,             0.00031373
                     84,                  1.304,                 0.6722,                0.96717,                0.65203,                 0.5467,                 0.7043,                0.40965,                  1.727,                0.96307,                 1.0168,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.2888,                0.66784,                0.96548,                0.67467,                0.53979,                0.69696,                0.37822,                 1.7546,                 0.9328,                  1.022,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.2895,                0.66154,                0.95745,                0.78303,                0.53022,                0.67608,                0.39342,                  1.698,                0.92969,                 1.0128,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.2874,                0.66456,                0.96057,                0.66272,                0.56319,                0.71256,                0.40444,                 1.7041,                0.99644,                 1.0152,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.2804,                0.66162,                0.95807,                0.65973,                0.55769,                0.67611,                0.37228,                 1.6998,                0.99676,                 1.0192,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.2899,                0.66324,                0.95724,                0.69342,                0.53571,                0.71264,                 0.4366,                 1.7304,                0.95176,                 1.0236,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.2591,                0.65061,                0.96222,                0.67615,                0.54121,                 0.7004,                0.40445,                  1.763,                0.99834,                 1.0261,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.2548,                 0.6476,                0.95609,                0.61731,                 0.5912,                0.70581,                0.40014,                 1.7054,                0.89676,                 1.0207,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.2617,                0.65164,                 0.9469,                0.66704,                0.53907,                0.67814,                0.39012,                 1.7237,                0.94908,                 1.0142,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.2401,                0.64757,                0.94948,                 0.6714,                0.53022,                0.66468,                0.38485,                 1.6908,                0.96451,                 1.0139,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.2416,                 0.6428,                0.94597,                0.76912,                0.53215,                0.69768,                 0.4092,                 1.7122,                0.92027,                  1.025,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.2504,                0.64136,                0.94529,                0.74348,                0.53099,                0.75719,                0.44706,                 1.7219,                0.93016,                 1.0191,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.2295,                0.63442,                 0.9409,                0.62129,                0.83525,                0.79268,                0.49547,                 1.7074,                0.92149,                 1.0236,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.2281,                0.63243,                0.94649,                0.62606,                0.83242,                0.79585,                0.47304,                 1.7041,                0.93002,                 1.0233,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.2373,                0.63251,                0.94127,                0.62384,                0.82659,                0.79922,                0.47754,                 1.6883,                0.92191,                 1.0182,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.2205,                0.62835,                0.94333,                0.67599,                0.55422,                 0.7555,                0.44966,                 1.6896,                 0.9154,                 1.0213,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 1.2184,                0.62459,                0.93855,                0.68088,                0.55259,                0.75859,                0.44996,                 1.6923,                0.91439,                 1.0197,             3.3173e-05,             3.3173e-05,             3.3173e-05
