                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.77039,                0.59203,                0.95471,                0.88003,                0.87471,                  0.921,                0.64286,                 1.0413,                0.71901,                 1.0735,              0.0002576,              0.0002576,              0.0002576
                     90,                0.77074,                0.60585,                0.96759,                0.85391,                0.89973,                0.92002,                0.63677,                 1.0382,                0.70314,                 1.0675,              0.0002378,              0.0002378,              0.0002378
                     91,                0.67066,                0.66566,                0.90403,                0.85952,                0.89541,                0.92038,                 0.6261,                 1.0852,                0.70186,                 1.0883,               0.000218,               0.000218,               0.000218
                     92,                0.68032,                0.57447,                0.89503,                0.85199,                0.85798,                0.90086,                 0.6076,                 1.0993,                0.76702,                 1.1198,              0.0001982,              0.0001982,              0.0001982
                     93,                0.64657,                0.52256,                0.89806,                0.84058,                0.84308,                0.89412,                 0.6147,                 1.0506,                 0.7885,                 1.1079,              0.0001784,              0.0001784,              0.0001784
                     94,                0.64892,                0.54228,                 0.9046,                0.84683,                0.85402,                0.89354,                0.61722,                 1.0471,                0.74666,                 1.0977,              0.0001586,              0.0001586,              0.0001586
                     95,                0.61435,                0.51442,                0.87622,                0.85071,                0.86992,                0.90218,                0.62212,                 1.0459,                0.70293,                 1.0802,              0.0001388,              0.0001388,              0.0001388
                     96,                0.65005,                0.50456,                0.88894,                0.84852,                 0.8653,                0.89718,                0.62814,                  1.022,                0.68898,                 1.0617,               0.000119,               0.000119,               0.000119
                     97,                0.62383,                0.50418,                0.88763,                0.85839,                0.87534,                0.90026,                0.63648,                 1.0026,                0.68451,                 1.0543,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.61216,                0.49372,                0.87692,                 0.8349,                0.90244,                0.90459,                0.63743,                 1.0041,                0.67942,                 1.0585,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.61726,                 0.4988,                 0.8824,                0.82413,                 0.9187,                0.90941,                0.63127,                 1.0171,                0.68299,                 1.0643,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.60459,                0.47613,                0.87387,                0.82461,                0.91328,                0.91397,                 0.6331,                  1.024,                0.68262,                 1.0629,               3.98e-05,               3.98e-05,               3.98e-05
