                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.65304,                0.39366,                 1.1222,                0.96012,                  0.984,                0.98019,                0.82702,                0.66196,                0.42746,                0.96213,              0.0002576,              0.0002576,              0.0002576
                     90,                0.65449,                0.39499,                 1.1193,                 0.9514,                  0.984,                0.97619,                0.82769,                0.62558,                0.44342,                0.93747,              0.0002378,              0.0002378,              0.0002378
                     91,                0.57766,                0.40793,                 1.0311,                0.95954,                  0.976,                0.98027,                0.84146,                0.67091,                0.46619,                0.95755,               0.000218,               0.000218,               0.000218
                     92,                0.55991,                0.35556,                 1.0072,                0.95967,                  0.984,                0.98572,                0.83946,                0.69245,                0.43102,                0.98704,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.5552,                0.35514,                0.99627,                0.96092,                0.98362,                0.98442,                0.82808,                0.68963,                0.42336,                0.97841,              0.0001784,              0.0001784,              0.0001784
                     94,                0.54508,                0.34012,                0.99177,                 0.9597,                  0.984,                 0.9863,                0.85332,                0.68178,                0.42338,                 0.9771,              0.0001586,              0.0001586,              0.0001586
                     95,                0.54543,                0.34406,                0.98591,                0.96086,                0.98209,                 0.9849,                0.84178,                0.69951,                 0.4219,                0.97379,              0.0001388,              0.0001388,              0.0001388
                     96,                0.53048,                0.33459,                0.98442,                0.96087,                0.98221,                 0.9861,                0.84674,                0.67636,                0.42098,                0.97521,               0.000119,               0.000119,               0.000119
                     97,                0.50274,                0.32432,                 0.9784,                0.95926,                  0.984,                0.98634,                0.85182,                0.65726,                0.41524,                0.95819,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.51119,                0.32313,                 0.9719,                0.95885,                  0.984,                0.98615,                0.85047,                0.65008,                0.41299,                0.96452,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.51376,                0.32628,                0.97594,                 0.9588,                  0.984,                 0.9858,                0.85233,                0.64302,                0.40313,                 0.9592,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 0.5048,                0.31846,                0.98763,                0.95936,                  0.984,                0.98546,                 0.8498,                0.65019,                0.41157,                0.96475,               3.98e-05,               3.98e-05,               3.98e-05
